,user_id,group,converted
0,0,A,0
1,1,B,0
2,2,A,0
3,3,A,0
4,4,B,0
5,5,B,0
6,6,A,0
7,7,A,1
8,8,B,0
9,9,A,0
10,10,B,0
11,11,B,0
12,12,A,0
13,13,B,0
14,14,A,0
15,15,A,0
16,16,A,0
17,17,A,0
18,18,A,0
19,19,A,0
20,20,A,0
21,21,A,0
22,22,B,0
23,23,A,0
24,24,A,0
25,25,B,0
26,26,A,0
27,27,B,1
28,28,B,0
29,29,B,0
30,30,A,0
31,31,B,0
32,32,B,0
33,33,A,1
34,34,A,0
35,35,B,0
36,36,A,0
37,37,B,0
38,38,A,0
39,39,B,1
40,40,B,0
41,41,B,0
42,42,B,0
43,43,A,0
44,44,A,0
45,45,A,0
46,46,B,0
47,47,A,0
48,48,B,0
49,49,B,0
50,50,A,0
51,51,B,1
52,52,B,0
53,53,B,0
54,54,B,0
55,55,A,0
56,56,A,0
57,57,B,1
58,58,B,0
59,59,A,0
60,60,B,1
61,61,A,0
62,62,B,0
63,63,B,0
64,64,B,0
65,65,A,0
66,66,A,1
67,67,A,1
68,68,A,0
69,69,A,0
70,70,B,0
71,71,A,0
72,72,B,0
73,73,B,0
74,74,A,0
75,75,B,0
76,76,B,0
77,77,A,0
78,78,B,0
79,79,A,0
80,80,A,0
81,81,B,0
82,82,B,0
83,83,A,0
84,84,B,0
85,85,A,0
86,86,A,0
87,87,A,0
88,88,B,1
89,89,A,0
90,90,B,0
91,91,B,0
92,92,A,0
93,93,A,0
94,94,B,1
95,95,B,0
96,96,A,1
97,97,A,0
98,98,B,0
99,99,A,0
100,100,B,0
101,101,B,0
102,102,A,1
103,103,A,1
104,104,B,0
105,105,A,0
106,106,A,0
107,107,B,0
108,108,B,0
109,109,A,0
110,110,A,0
111,111,A,0
112,112,A,0
113,113,A,0
114,114,A,0
115,115,A,1
116,116,A,0
117,117,B,0
118,118,A,0
119,119,B,0
120,120,B,0
121,121,B,0
122,122,B,0
123,123,A,0
124,124,A,0
125,125,A,0
126,126,A,0
127,127,A,0
128,128,B,0
129,129,A,0
130,130,B,1
131,131,A,0
132,132,A,0
133,133,A,0
134,134,A,0
135,135,B,0
136,136,B,1
137,137,A,0
138,138,A,0
139,139,B,0
140,140,A,0
141,141,B,0
142,142,A,0
143,143,B,0
144,144,A,0
145,145,A,0
146,146,A,0
147,147,A,1
148,148,A,0
149,149,A,0
150,150,A,0
151,151,A,0
152,152,A,0
153,153,B,1
154,154,B,0
155,155,A,0
156,156,A,0
157,157,A,0
158,158,B,0
159,159,B,0
160,160,B,0
161,161,A,0
162,162,A,0
163,163,B,0
164,164,A,0
165,165,B,0
166,166,B,0
167,167,B,0
168,168,B,0
169,169,B,0
170,170,B,0
171,171,A,0
172,172,B,0
173,173,B,0
174,174,A,0
175,175,A,1
176,176,B,0
177,177,B,0
178,178,A,0
179,179,B,0
180,180,B,0
181,181,B,0
182,182,A,0
183,183,A,0
184,184,B,0
185,185,A,0
186,186,B,1
187,187,A,0
188,188,A,0
189,189,B,0
190,190,B,0
191,191,A,0
192,192,A,0
193,193,B,0
194,194,B,1
195,195,B,0
196,196,B,0
197,197,A,0
198,198,B,1
199,199,A,0
200,200,B,0
201,201,A,0
202,202,B,0
203,203,B,0
204,204,A,0
205,205,B,0
206,206,B,0
207,207,B,0
208,208,B,0
209,209,A,0
210,210,A,0
211,211,B,0
212,212,B,1
213,213,B,0
214,214,B,0
215,215,A,0
216,216,B,0
217,217,B,0
218,218,B,1
219,219,B,0
220,220,A,0
221,221,A,0
222,222,B,1
223,223,B,0
224,224,A,1
225,225,A,0
226,226,B,0
227,227,B,0
228,228,A,0
229,229,A,0
230,230,B,0
231,231,B,0
232,232,B,0
233,233,B,0
234,234,B,0
235,235,B,1
236,236,A,0
237,237,A,0
238,238,A,0
239,239,A,0
240,240,B,0
241,241,A,0
242,242,A,0
243,243,B,0
244,244,B,0
245,245,A,0
246,246,B,0
247,247,A,0
248,248,A,0
249,249,A,0
250,250,B,0
251,251,A,0
252,252,B,0
253,253,B,0
254,254,A,0
255,255,A,1
256,256,A,0
257,257,B,0
258,258,A,0
259,259,B,0
260,260,B,0
261,261,B,1
262,262,B,0
263,263,A,0
264,264,B,0
265,265,A,0
266,266,A,0
267,267,A,0
268,268,B,0
269,269,B,0
270,270,B,0
271,271,A,0
272,272,B,0
273,273,B,0
274,274,A,1
275,275,A,0
276,276,B,0
277,277,A,0
278,278,B,0
279,279,A,0
280,280,B,1
281,281,B,0
282,282,B,0
283,283,A,0
284,284,A,0
285,285,A,0
286,286,B,0
287,287,A,0
288,288,A,0
289,289,B,0
290,290,B,0
291,291,B,1
292,292,B,0
293,293,B,0
294,294,A,0
295,295,A,0
296,296,A,0
297,297,B,0
298,298,A,0
299,299,B,1
300,300,B,0
301,301,B,0
302,302,B,0
303,303,A,0
304,304,A,0
305,305,B,0
306,306,A,0
307,307,A,0
308,308,B,0
309,309,B,0
310,310,A,0
311,311,B,0
312,312,A,0
313,313,B,0
314,314,B,0
315,315,A,0
316,316,A,0
317,317,A,0
318,318,B,1
319,319,A,0
320,320,B,0
321,321,A,0
322,322,A,0
323,323,B,0
324,324,A,0
325,325,A,0
326,326,B,0
327,327,B,1
328,328,A,0
329,329,B,0
330,330,A,0
331,331,B,0
332,332,B,0
333,333,A,0
334,334,A,0
335,335,A,0
336,336,B,0
337,337,A,0
338,338,A,0
339,339,A,0
340,340,A,0
341,341,B,0
342,342,A,0
343,343,B,0
344,344,B,0
345,345,B,0
346,346,A,0
347,347,A,0
348,348,A,0
349,349,A,0
350,350,B,0
351,351,B,0
352,352,A,0
353,353,A,0
354,354,A,0
355,355,A,0
356,356,B,0
357,357,A,0
358,358,B,0
359,359,A,1
360,360,B,0
361,361,A,0
362,362,B,0
363,363,B,0
364,364,A,0
365,365,B,0
366,366,B,1
367,367,A,0
368,368,B,0
369,369,B,0
370,370,A,0
371,371,B,0
372,372,B,1
373,373,A,0
374,374,B,0
375,375,B,0
376,376,A,0
377,377,A,0
378,378,B,0
379,379,B,0
380,380,B,0
381,381,B,0
382,382,A,0
383,383,A,0
384,384,A,0
385,385,B,0
386,386,B,0
387,387,B,1
388,388,B,0
389,389,B,0
390,390,A,0
391,391,B,0
392,392,A,0
393,393,A,0
394,394,A,0
395,395,A,0
396,396,A,0
397,397,A,0
398,398,A,0
399,399,A,0
400,400,A,0
401,401,A,0
402,402,A,0
403,403,A,0
404,404,A,0
405,405,B,0
406,406,B,0
407,407,A,0
408,408,A,0
409,409,A,0
410,410,B,0
411,411,B,0
412,412,A,0
413,413,B,0
414,414,B,0
415,415,A,0
416,416,B,0
417,417,B,0
418,418,B,1
419,419,A,0
420,420,A,0
421,421,A,0
422,422,B,0
423,423,B,0
424,424,A,0
425,425,A,0
426,426,B,0
427,427,A,1
428,428,B,1
429,429,A,0
430,430,A,0
431,431,B,0
432,432,B,0
433,433,A,0
434,434,B,0
435,435,B,0
436,436,B,1
437,437,B,0
438,438,B,0
439,439,B,0
440,440,A,0
441,441,A,0
442,442,A,0
443,443,B,0
444,444,B,0
445,445,B,0
446,446,B,0
447,447,B,0
448,448,A,0
449,449,B,1
450,450,A,0
451,451,A,0
452,452,A,1
453,453,A,0
454,454,A,0
455,455,A,0
456,456,B,0
457,457,A,0
458,458,A,0
459,459,B,0
460,460,B,0
461,461,B,0
462,462,B,0
463,463,B,0
464,464,B,0
465,465,B,0
466,466,B,0
467,467,A,0
468,468,B,0
469,469,A,0
470,470,B,0
471,471,B,0
472,472,A,0
473,473,B,0
474,474,B,0
475,475,B,0
476,476,B,0
477,477,A,0
478,478,A,0
479,479,A,0
480,480,A,0
481,481,A,0
482,482,B,0
483,483,B,1
484,484,B,0
485,485,A,0
486,486,B,0
487,487,B,0
488,488,A,1
489,489,A,0
490,490,A,1
491,491,B,0
492,492,B,0
493,493,B,0
494,494,A,1
495,495,A,0
496,496,A,0
497,497,B,0
498,498,B,0
499,499,B,0
500,500,B,0
501,501,A,0
502,502,B,0
503,503,B,0
504,504,B,0
505,505,B,0
506,506,A,0
507,507,A,0
508,508,A,0
509,509,A,0
510,510,A,0
511,511,B,0
512,512,B,0
513,513,A,0
514,514,B,0
515,515,B,0
516,516,B,0
517,517,B,0
518,518,B,0
519,519,B,0
520,520,B,0
521,521,A,0
522,522,B,0
523,523,B,0
524,524,A,0
525,525,B,0
526,526,A,0
527,527,A,0
528,528,B,0
529,529,B,0
530,530,B,0
531,531,A,0
532,532,B,0
533,533,B,0
534,534,B,0
535,535,B,0
536,536,A,0
537,537,A,1
538,538,B,1
539,539,B,0
540,540,A,0
541,541,A,0
542,542,A,0
543,543,A,0
544,544,A,0
545,545,B,0
546,546,A,0
547,547,B,0
548,548,A,0
549,549,B,0
550,550,B,0
551,551,A,0
552,552,B,0
553,553,B,0
554,554,B,0
555,555,A,0
556,556,B,1
557,557,B,0
558,558,A,0
559,559,A,1
560,560,B,0
561,561,B,0
562,562,B,0
563,563,B,0
564,564,A,0
565,565,B,0
566,566,B,0
567,567,B,0
568,568,A,0
569,569,A,0
570,570,A,0
571,571,B,0
572,572,A,1
573,573,B,1
574,574,B,1
575,575,B,1
576,576,A,0
577,577,B,0
578,578,B,0
579,579,B,1
580,580,B,0
581,581,A,0
582,582,B,0
583,583,B,0
584,584,B,1
585,585,A,0
586,586,A,0
587,587,B,0
588,588,B,0
589,589,A,0
590,590,A,0
591,591,A,0
592,592,A,0
593,593,A,0
594,594,B,0
595,595,B,1
596,596,A,0
597,597,A,0
598,598,A,0
599,599,B,0
600,600,B,0
601,601,B,0
602,602,B,0
603,603,B,0
604,604,A,0
605,605,A,0
606,606,A,0
607,607,A,0
608,608,B,0
609,609,A,0
610,610,B,0
611,611,A,0
612,612,A,0
613,613,B,0
614,614,A,0
615,615,B,0
616,616,B,0
617,617,B,0
618,618,A,0
619,619,B,0
620,620,B,1
621,621,A,1
622,622,B,0
623,623,B,1
624,624,A,0
625,625,A,1
626,626,B,0
627,627,A,0
628,628,A,0
629,629,B,0
630,630,A,0
631,631,A,0
632,632,B,0
633,633,B,0
634,634,A,0
635,635,A,1
636,636,B,0
637,637,A,0
638,638,B,0
639,639,B,0
640,640,A,0
641,641,B,0
642,642,A,0
643,643,B,0
644,644,B,0
645,645,B,0
646,646,B,0
647,647,B,0
648,648,A,0
649,649,A,0
650,650,B,1
651,651,B,0
652,652,A,1
653,653,A,0
654,654,A,0
655,655,B,0
656,656,A,0
657,657,B,0
658,658,A,0
659,659,B,0
660,660,A,0
661,661,B,0
662,662,A,0
663,663,A,1
664,664,B,0
665,665,A,0
666,666,A,0
667,667,B,1
668,668,B,0
669,669,A,0
670,670,A,1
671,671,B,0
672,672,B,1
673,673,B,0
674,674,B,0
675,675,B,0
676,676,A,1
677,677,A,0
678,678,B,0
679,679,A,0
680,680,A,0
681,681,A,0
682,682,B,0
683,683,B,0
684,684,B,0
685,685,A,0
686,686,A,0
687,687,A,0
688,688,B,0
689,689,A,0
690,690,A,0
691,691,A,1
692,692,B,0
693,693,A,0
694,694,B,0
695,695,B,0
696,696,B,0
697,697,A,0
698,698,A,0
699,699,B,0
700,700,B,0
701,701,B,0
702,702,A,0
703,703,A,0
704,704,A,1
705,705,B,1
706,706,B,0
707,707,A,0
708,708,B,0
709,709,A,0
710,710,B,0
711,711,A,0
712,712,A,0
713,713,A,0
714,714,A,0
715,715,A,0
716,716,B,1
717,717,A,0
718,718,A,0
719,719,A,0
720,720,B,0
721,721,B,0
722,722,B,0
723,723,A,0
724,724,B,0
725,725,A,1
726,726,B,0
727,727,B,0
728,728,B,0
729,729,A,0
730,730,A,0
731,731,A,1
732,732,B,1
733,733,A,1
734,734,B,0
735,735,A,0
736,736,A,1
737,737,B,1
738,738,A,0
739,739,A,0
740,740,B,0
741,741,A,0
742,742,A,0
743,743,A,0
744,744,B,0
745,745,B,0
746,746,B,0
747,747,A,0
748,748,B,0
749,749,B,1
750,750,B,1
751,751,B,0
752,752,B,1
753,753,B,0
754,754,A,0
755,755,A,0
756,756,A,0
757,757,B,0
758,758,B,0
759,759,B,0
760,760,A,0
761,761,B,1
762,762,B,0
763,763,A,0
764,764,B,0
765,765,A,0
766,766,B,0
767,767,B,1
768,768,B,0
769,769,A,0
770,770,B,0
771,771,B,0
772,772,B,0
773,773,A,0
774,774,A,0
775,775,B,0
776,776,B,0
777,777,A,0
778,778,B,0
779,779,B,0
780,780,B,0
781,781,B,0
782,782,A,0
783,783,B,0
784,784,B,0
785,785,A,0
786,786,A,0
787,787,B,0
788,788,B,0
789,789,B,0
790,790,B,0
791,791,B,0
792,792,A,0
793,793,B,0
794,794,A,0
795,795,A,0
796,796,B,0
797,797,A,0
798,798,B,0
799,799,B,0
800,800,B,0
801,801,A,0
802,802,B,0
803,803,B,1
804,804,A,0
805,805,A,0
806,806,A,0
807,807,B,0
808,808,B,0
809,809,B,0
810,810,B,0
811,811,A,0
812,812,A,0
813,813,A,0
814,814,B,0
815,815,A,0
816,816,B,0
817,817,B,0
818,818,B,0
819,819,A,1
820,820,B,0
821,821,B,0
822,822,B,0
823,823,B,0
824,824,B,0
825,825,A,0
826,826,A,0
827,827,A,0
828,828,B,0
829,829,A,0
830,830,B,0
831,831,B,0
832,832,A,0
833,833,B,0
834,834,B,1
835,835,A,0
836,836,B,0
837,837,A,0
838,838,A,0
839,839,B,0
840,840,A,0
841,841,A,1
842,842,A,0
843,843,A,0
844,844,A,0
845,845,A,0
846,846,A,0
847,847,B,0
848,848,A,0
849,849,A,0
850,850,B,0
851,851,A,0
852,852,A,0
853,853,A,1
854,854,A,0
855,855,A,0
856,856,B,1
857,857,B,0
858,858,B,0
859,859,B,0
860,860,B,0
861,861,A,0
862,862,B,1
863,863,B,1
864,864,A,0
865,865,A,1
866,866,B,0
867,867,B,0
868,868,A,1
869,869,A,0
870,870,B,0
871,871,B,0
872,872,A,0
873,873,A,0
874,874,B,0
875,875,B,0
876,876,B,0
877,877,B,0
878,878,A,0
879,879,A,1
880,880,A,0
881,881,B,0
882,882,B,0
883,883,A,0
884,884,A,0
885,885,A,0
886,886,B,0
887,887,B,0
888,888,A,0
889,889,A,0
890,890,A,0
891,891,A,0
892,892,B,1
893,893,A,0
894,894,B,0
895,895,A,0
896,896,A,0
897,897,B,0
898,898,B,0
899,899,A,0
900,900,A,0
901,901,A,0
902,902,A,1
903,903,B,0
904,904,A,0
905,905,B,0
906,906,B,1
907,907,A,0
908,908,B,0
909,909,A,0
910,910,A,0
911,911,A,0
912,912,A,0
913,913,A,0
914,914,B,0
915,915,B,0
916,916,A,0
917,917,A,1
918,918,A,0
919,919,A,0
920,920,A,0
921,921,A,0
922,922,A,0
923,923,A,0
924,924,A,0
925,925,A,0
926,926,B,0
927,927,B,0
928,928,A,0
929,929,B,1
930,930,A,0
931,931,B,0
932,932,B,0
933,933,B,0
934,934,A,0
935,935,A,0
936,936,A,0
937,937,B,0
938,938,B,0
939,939,B,1
940,940,B,0
941,941,A,0
942,942,B,0
943,943,A,0
944,944,B,0
945,945,A,0
946,946,A,0
947,947,B,1
948,948,A,0
949,949,B,0
950,950,A,0
951,951,B,0
952,952,B,0
953,953,B,0
954,954,B,0
955,955,A,0
956,956,B,0
957,957,B,0
958,958,B,0
959,959,A,1
960,960,A,0
961,961,A,0
962,962,B,0
963,963,A,0
964,964,B,0
965,965,A,0
966,966,B,0
967,967,B,0
968,968,A,0
969,969,A,0
970,970,A,0
971,971,A,0
972,972,A,0
973,973,A,0
974,974,B,0
975,975,B,0
976,976,B,0
977,977,A,1
978,978,B,0
979,979,B,0
980,980,A,1
981,981,A,1
982,982,B,0
983,983,A,0
984,984,A,0
985,985,A,0
986,986,B,0
987,987,A,0
988,988,A,0
989,989,B,0
990,990,A,0
991,991,B,0
992,992,B,0
993,993,B,1
994,994,B,0
995,995,B,0
996,996,B,0
997,997,A,0
998,998,A,0
999,999,B,1
1000,1000,B,0
1001,1001,B,0
1002,1002,B,1
1003,1003,A,0
1004,1004,A,1
1005,1005,B,0
1006,1006,A,0
1007,1007,A,0
1008,1008,A,1
1009,1009,A,0
1010,1010,B,0
1011,1011,B,0
1012,1012,A,1
1013,1013,B,0
1014,1014,B,1
1015,1015,B,0
1016,1016,B,0
1017,1017,A,0
1018,1018,B,0
1019,1019,B,0
1020,1020,B,1
1021,1021,B,0
1022,1022,A,0
1023,1023,A,0
1024,1024,A,0
1025,1025,A,0
1026,1026,A,0
1027,1027,A,0
1028,1028,A,0
1029,1029,B,0
1030,1030,A,0
1031,1031,B,0
1032,1032,B,0
1033,1033,B,0
1034,1034,B,0
1035,1035,B,0
1036,1036,A,0
1037,1037,B,0
1038,1038,A,0
1039,1039,A,0
1040,1040,B,0
1041,1041,B,0
1042,1042,B,0
1043,1043,A,0
1044,1044,A,0
1045,1045,B,0
1046,1046,B,0
1047,1047,A,0
1048,1048,A,0
1049,1049,A,0
1050,1050,A,0
1051,1051,A,0
1052,1052,B,1
1053,1053,A,1
1054,1054,A,0
1055,1055,A,0
1056,1056,A,0
1057,1057,B,0
1058,1058,A,0
1059,1059,A,0
1060,1060,B,0
1061,1061,B,0
1062,1062,B,0
1063,1063,B,0
1064,1064,A,0
1065,1065,B,0
1066,1066,A,0
1067,1067,A,0
1068,1068,B,1
1069,1069,B,0
1070,1070,B,0
1071,1071,A,0
1072,1072,A,0
1073,1073,A,0
1074,1074,A,0
1075,1075,A,0
1076,1076,B,0
1077,1077,B,0
1078,1078,B,0
1079,1079,B,0
1080,1080,B,0
1081,1081,A,1
1082,1082,A,0
1083,1083,B,0
1084,1084,A,1
1085,1085,B,0
1086,1086,A,0
1087,1087,A,0
1088,1088,B,1
1089,1089,A,0
1090,1090,B,0
1091,1091,B,0
1092,1092,A,0
1093,1093,A,0
1094,1094,A,0
1095,1095,A,0
1096,1096,A,0
1097,1097,B,0
1098,1098,B,0
1099,1099,B,0
1100,1100,A,0
1101,1101,A,0
1102,1102,A,0
1103,1103,A,0
1104,1104,B,0
1105,1105,A,0
1106,1106,A,0
1107,1107,B,0
1108,1108,B,0
1109,1109,B,0
1110,1110,B,0
1111,1111,B,1
1112,1112,B,1
1113,1113,B,0
1114,1114,B,1
1115,1115,A,0
1116,1116,A,0
1117,1117,A,0
1118,1118,A,1
1119,1119,B,0
1120,1120,A,0
1121,1121,B,0
1122,1122,A,0
1123,1123,B,1
1124,1124,B,0
1125,1125,B,1
1126,1126,A,0
1127,1127,A,0
1128,1128,B,0
1129,1129,B,0
1130,1130,B,0
1131,1131,B,0
1132,1132,B,0
1133,1133,A,0
1134,1134,B,0
1135,1135,A,0
1136,1136,A,0
1137,1137,B,0
1138,1138,B,0
1139,1139,B,0
1140,1140,A,0
1141,1141,A,0
1142,1142,A,0
1143,1143,A,0
1144,1144,B,0
1145,1145,A,1
1146,1146,A,0
1147,1147,B,1
1148,1148,A,0
1149,1149,A,0
1150,1150,A,1
1151,1151,A,0
1152,1152,A,0
1153,1153,B,0
1154,1154,A,0
1155,1155,A,0
1156,1156,A,0
1157,1157,A,0
1158,1158,A,1
1159,1159,A,0
1160,1160,A,0
1161,1161,B,0
1162,1162,B,0
1163,1163,B,0
1164,1164,B,0
1165,1165,A,0
1166,1166,B,0
1167,1167,B,1
1168,1168,A,0
1169,1169,B,0
1170,1170,A,0
1171,1171,B,0
1172,1172,A,0
1173,1173,A,0
1174,1174,A,0
1175,1175,B,0
1176,1176,B,0
1177,1177,A,1
1178,1178,B,0
1179,1179,B,0
1180,1180,B,1
1181,1181,B,0
1182,1182,B,1
1183,1183,A,0
1184,1184,B,1
1185,1185,B,0
1186,1186,A,0
1187,1187,A,0
1188,1188,B,0
1189,1189,B,0
1190,1190,B,0
1191,1191,A,0
1192,1192,A,0
1193,1193,A,0
1194,1194,A,0
1195,1195,A,0
1196,1196,A,0
1197,1197,B,0
1198,1198,B,0
1199,1199,A,0
1200,1200,A,0
1201,1201,B,0
1202,1202,B,1
1203,1203,B,0
1204,1204,A,0
1205,1205,B,0
1206,1206,A,0
1207,1207,B,0
1208,1208,B,0
1209,1209,B,0
1210,1210,A,1
1211,1211,A,0
1212,1212,A,0
1213,1213,B,0
1214,1214,A,0
1215,1215,A,0
1216,1216,A,0
1217,1217,A,0
1218,1218,A,0
1219,1219,B,0
1220,1220,B,1
1221,1221,B,0
1222,1222,B,0
1223,1223,A,0
1224,1224,A,0
1225,1225,A,1
1226,1226,A,0
1227,1227,A,0
1228,1228,B,0
1229,1229,B,1
1230,1230,A,0
1231,1231,B,0
1232,1232,A,1
1233,1233,B,0
1234,1234,B,1
1235,1235,B,0
1236,1236,B,0
1237,1237,A,0
1238,1238,B,0
1239,1239,B,0
1240,1240,B,0
1241,1241,A,0
1242,1242,A,0
1243,1243,B,0
1244,1244,B,0
1245,1245,A,0
1246,1246,A,0
1247,1247,A,1
1248,1248,A,1
1249,1249,B,0
1250,1250,B,0
1251,1251,B,0
1252,1252,A,0
1253,1253,B,0
1254,1254,B,0
1255,1255,B,0
1256,1256,B,0
1257,1257,A,0
1258,1258,A,0
1259,1259,B,0
1260,1260,A,0
1261,1261,A,0
1262,1262,A,0
1263,1263,A,0
1264,1264,B,0
1265,1265,B,0
1266,1266,A,0
1267,1267,B,0
1268,1268,B,0
1269,1269,A,0
1270,1270,B,0
1271,1271,B,0
1272,1272,B,0
1273,1273,A,0
1274,1274,B,0
1275,1275,A,0
1276,1276,B,0
1277,1277,B,0
1278,1278,B,1
1279,1279,A,0
1280,1280,B,0
1281,1281,B,0
1282,1282,A,0
1283,1283,A,0
1284,1284,A,0
1285,1285,B,0
1286,1286,A,0
1287,1287,B,0
1288,1288,A,0
1289,1289,B,0
1290,1290,A,0
1291,1291,A,0
1292,1292,A,0
1293,1293,A,0
1294,1294,B,0
1295,1295,A,0
1296,1296,B,1
1297,1297,A,0
1298,1298,A,0
1299,1299,B,0
1300,1300,B,0
1301,1301,B,0
1302,1302,B,0
1303,1303,B,1
1304,1304,B,0
1305,1305,B,0
1306,1306,B,0
1307,1307,B,0
1308,1308,A,0
1309,1309,B,0
1310,1310,B,0
1311,1311,A,1
1312,1312,B,0
1313,1313,B,0
1314,1314,A,0
1315,1315,B,0
1316,1316,B,0
1317,1317,B,0
1318,1318,B,0
1319,1319,A,0
1320,1320,B,0
1321,1321,A,0
1322,1322,A,0
1323,1323,A,0
1324,1324,B,0
1325,1325,B,0
1326,1326,B,0
1327,1327,B,0
1328,1328,B,0
1329,1329,B,0
1330,1330,B,0
1331,1331,A,0
1332,1332,A,0
1333,1333,B,0
1334,1334,B,0
1335,1335,A,0
1336,1336,A,0
1337,1337,A,0
1338,1338,B,0
1339,1339,A,0
1340,1340,A,0
1341,1341,B,0
1342,1342,B,0
1343,1343,A,0
1344,1344,B,0
1345,1345,B,0
1346,1346,B,0
1347,1347,A,0
1348,1348,B,1
1349,1349,B,0
1350,1350,B,0
1351,1351,A,0
1352,1352,B,0
1353,1353,B,1
1354,1354,A,0
1355,1355,A,0
1356,1356,B,0
1357,1357,B,0
1358,1358,A,0
1359,1359,A,0
1360,1360,A,0
1361,1361,B,1
1362,1362,B,0
1363,1363,B,0
1364,1364,A,0
1365,1365,A,0
1366,1366,B,0
1367,1367,B,0
1368,1368,A,1
1369,1369,A,0
1370,1370,A,0
1371,1371,B,0
1372,1372,A,0
1373,1373,A,0
1374,1374,B,0
1375,1375,A,0
1376,1376,B,0
1377,1377,A,0
1378,1378,B,0
1379,1379,A,0
1380,1380,A,0
1381,1381,B,0
1382,1382,B,0
1383,1383,A,0
1384,1384,A,1
1385,1385,B,0
1386,1386,B,0
1387,1387,B,0
1388,1388,A,0
1389,1389,A,0
1390,1390,B,0
1391,1391,A,0
1392,1392,A,1
1393,1393,A,0
1394,1394,B,0
1395,1395,B,0
1396,1396,B,0
1397,1397,A,0
1398,1398,B,0
1399,1399,B,0
1400,1400,B,0
1401,1401,B,0
1402,1402,A,0
1403,1403,B,0
1404,1404,A,0
1405,1405,A,0
1406,1406,B,0
1407,1407,A,0
1408,1408,A,0
1409,1409,B,0
1410,1410,B,0
1411,1411,B,0
1412,1412,B,0
1413,1413,A,0
1414,1414,A,0
1415,1415,A,0
1416,1416,A,0
1417,1417,A,0
1418,1418,B,0
1419,1419,A,0
1420,1420,B,0
1421,1421,B,0
1422,1422,B,0
1423,1423,B,0
1424,1424,B,0
1425,1425,A,0
1426,1426,B,1
1427,1427,A,0
1428,1428,B,0
1429,1429,A,0
1430,1430,B,0
1431,1431,A,0
1432,1432,B,0
1433,1433,A,0
1434,1434,A,0
1435,1435,B,0
1436,1436,A,0
1437,1437,B,0
1438,1438,B,0
1439,1439,A,0
1440,1440,A,1
1441,1441,A,0
1442,1442,B,1
1443,1443,B,0
1444,1444,A,0
1445,1445,A,0
1446,1446,B,0
1447,1447,A,0
1448,1448,A,1
1449,1449,B,1
1450,1450,A,0
1451,1451,B,0
1452,1452,A,0
1453,1453,A,0
1454,1454,A,0
1455,1455,B,0
1456,1456,A,0
1457,1457,A,0
1458,1458,B,0
1459,1459,B,0
1460,1460,A,0
1461,1461,B,0
1462,1462,B,0
1463,1463,A,0
1464,1464,B,0
1465,1465,B,0
1466,1466,B,0
1467,1467,B,0
1468,1468,A,0
1469,1469,A,0
1470,1470,B,0
1471,1471,B,0
1472,1472,A,0
1473,1473,B,0
1474,1474,A,0
1475,1475,A,0
1476,1476,B,0
1477,1477,A,0
1478,1478,B,0
1479,1479,A,0
1480,1480,B,1
1481,1481,B,0
1482,1482,A,0
1483,1483,B,0
1484,1484,A,0
1485,1485,A,0
1486,1486,B,0
1487,1487,A,0
1488,1488,B,0
1489,1489,A,1
1490,1490,A,1
1491,1491,B,0
1492,1492,B,1
1493,1493,A,0
1494,1494,A,0
1495,1495,A,0
1496,1496,B,0
1497,1497,A,0
1498,1498,B,0
1499,1499,B,0
1500,1500,B,0
1501,1501,A,0
1502,1502,B,0
1503,1503,B,1
1504,1504,B,0
1505,1505,A,0
1506,1506,B,0
1507,1507,A,0
1508,1508,A,0
1509,1509,A,0
1510,1510,B,1
1511,1511,B,0
1512,1512,A,0
1513,1513,B,0
1514,1514,A,1
1515,1515,B,0
1516,1516,A,0
1517,1517,A,0
1518,1518,A,1
1519,1519,B,0
1520,1520,A,0
1521,1521,A,1
1522,1522,A,0
1523,1523,B,0
1524,1524,B,0
1525,1525,B,0
1526,1526,B,0
1527,1527,A,0
1528,1528,A,0
1529,1529,B,0
1530,1530,A,0
1531,1531,A,1
1532,1532,B,0
1533,1533,B,1
1534,1534,B,0
1535,1535,B,1
1536,1536,B,0
1537,1537,A,0
1538,1538,A,0
1539,1539,A,0
1540,1540,A,1
1541,1541,A,0
1542,1542,B,0
1543,1543,A,0
1544,1544,B,0
1545,1545,A,1
1546,1546,B,0
1547,1547,A,1
1548,1548,B,0
1549,1549,A,0
1550,1550,A,0
1551,1551,A,0
1552,1552,B,0
1553,1553,A,0
1554,1554,A,0
1555,1555,B,0
1556,1556,B,0
1557,1557,B,0
1558,1558,A,0
1559,1559,A,0
1560,1560,A,0
1561,1561,A,1
1562,1562,A,1
1563,1563,A,0
1564,1564,A,0
1565,1565,A,0
1566,1566,B,0
1567,1567,A,0
1568,1568,A,0
1569,1569,A,0
1570,1570,A,1
1571,1571,B,0
1572,1572,A,0
1573,1573,B,0
1574,1574,B,0
1575,1575,A,0
1576,1576,B,0
